Name,Year,Population total,Median Age,Total Housing Units,Vacant Housing Units,Occupied Housing Units,Real Median Income,Household size,Vacant units per person
"Arthur County, Nebraska",2009,364,33.4,200,61,139,44750,2.61870503597,0.167582417582
"Arthur County, Nebraska",2012,490,37.4,236,56,180,45769,2.72222222222,0.114285714286
"Arthur County, Nebraska",2015,448,39.9,253,73,180,39375,2.48888888889,0.162946428571
"Ascension Parish, Louisiana",2009,98471,33.7,38101,3269,34832,60874,2.82702687184,0.033197591169
"Ascension Parish, Louisiana",2012,107647,34.4,40979,3648,37331,67688,2.88358200959,0.0338885431085
"Ascension Parish, Louisiana",2015,114738,34.8,43255,3145,40110,70551,2.86058339566,0.0274102738413
"Ashe County, North Carolina",2009,25467,44.6,15302,3963,11339,35312,2.24596525267,0.155613146425
"Ashe County, North Carolina",2012,27099,45.4,17243,5306,11937,35670,2.27016838402,0.195800583047
"Ashe County, North Carolina",2015,27114,46.6,17441,5655,11786,36267,2.30052604785,0.208563841558
"Ashland County, Ohio",2009,54622,38.1,21974,2003,19971,45556,2.73506584548,0.036670206144
"Ashland County, Ohio",2012,53203,39.5,22128,1862,20266,44996,2.62523438271,0.0349980264271
"Ashland County, Ohio",2015,53189,39.9,22104,1677,20427,48003,2.6038576394,0.0315290755607
"Ashland County, Wisconsin",2009,16307,39.2,9395,2513,6882,37245,2.36951467597,0.154105598823
"Ashland County, Wisconsin",2012,16113,41,9624,2820,6804,39157,2.36816578483,0.17501396388
"Ashland County, Wisconsin",2015,15993,42.2,9625,2907,6718,39381,2.38061923191,0.181767023073
"Ashley County, Arkansas",2009,22337,38.7,11076,1632,9444,33007,2.36520542143,0.0730626315083
"Ashley County, Arkansas",2012,21811,39.5,10181,1407,8774,38069,2.48586733531,0.064508734125
"Ashley County, Arkansas",2015,21229,41.4,10104,1777,8327,34263,2.54941755734,0.0837062508832
"Ashtabula County, Ohio",2009,101375,40.3,45727,6688,39039,41498,2.59676221215,0.0659728729963
"Ashtabula County, Ohio",2012,101262,41.1,46055,7166,38889,41075,2.60387256036,0.0707669214513
"Ashtabula County, Ohio",2015,99777,41.8,45907,7017,38890,40544,2.56562098226,0.0703268288283
"Asotin County, Washington",2009,21198,42.3,9520,859,8661,40643,2.44752338067,0.0405226908199
"Asotin County, Washington",2012,21658,43.3,9825,779,9046,42305,2.39420738448,0.0359682334472
"Asotin County, Washington",2015,22040,44.2,9855,514,9341,44394,2.35949041858,0.0233212341198
"Assumption Parish, Louisiana",2009,22986,38.3,10512,1919,8593,43003,2.67496799721,0.0834855999304
"Assumption Parish, Louisiana",2012,23321,38.8,10362,1708,8654,46410,2.69482320314,0.0732387118906
"Assumption Parish, Louisiana",2015,23057,39.3,10470,1810,8660,49167,2.66247113164,0.0785011059548
"Atascosa County, Texas",2009,43524,35.4,15909,2275,13634,41178,3.19231333431,0.0522700119474
"Atascosa County, Texas",2012,45091,35.8,17549,2554,14995,45702,3.00706902301,0.0566410148367
"Atascosa County, Texas",2015,47050,35.5,17788,2425,15363,52192,3.06255288681,0.0515409139214
"Atchison County, Kansas",2009,16469,36,6991,854,6137,45146,2.68355874206,0.0518550003036
"Atchison County, Kansas",2012,16854,35.8,6978,915,6063,45666,2.77981197427,0.0542897828409
"Atchison County, Kansas",2015,16633,35.9,6958,925,6033,43581,2.75700314935,0.0556123369206
"Atchison County, Missouri",2009,6078,45.1,3128,479,2649,39328,2.29445073613,0.0788088186904
"Atchison County, Missouri",2012,5664,46.1,2982,535,2447,46059,2.31467102575,0.0944562146893
"Atchison County, Missouri",2015,5440,47.1,2969,468,2501,43933,2.17512994802,0.0860294117647
"Athens County, Ohio",2009,63073,24.4,25399,3501,21898,30190,2.88030870399,0.0555071108081
"Athens County, Ohio",2012,64592,26.4,26299,4078,22221,33836,2.90679987399,0.0631347535298
"Athens County, Ohio",2015,64974,28,26260,3774,22486,33872,2.8895312639,0.0580847723705
"Atkinson County, Georgia",2009,8124,31,3262,634,2628,33548,3.09132420091,0.0780403741999
"Atkinson County, Georgia",2012,8355,34.2,3512,793,2719,28682,3.07282089003,0.0949132256134
"Atkinson County, Georgia",2015,8294,34.9,3476,704,2772,30933,2.99206349206,0.0848806366048
"Atlantic County, New Jersey",2009,270016,39.2,125866,23229,102637,54934,2.63078616873,0.0860282353638
"Atlantic County, New Jersey",2012,274402,40.1,126824,25806,101018,54559,2.71636738007,0.0940445040488
"Atlantic County, New Jersey",2015,275376,40.6,127435,25617,101818,54461,2.70459054391,0.0930255359944
"Atoka County, Oklahoma",2009,14424,38.5,5906,917,4989,30990,2.89116055322,0.0635745978924
"Atoka County, Oklahoma",2012,14133,39.3,6294,964,5330,36755,2.65159474672,0.0682091558763
"Atoka County, Oklahoma",2015,13906,40.7,6353,1095,5258,36661,2.6447318372,0.078742988638
"Attala County, Mississippi",2009,19558,38.7,9147,1621,7526,30096,2.598724422,0.0828816852439
"Attala County, Mississippi",2012,19454,39.9,9122,1873,7249,31102,2.68368050766,0.096278400329
"Attala County, Mississippi",2015,19175,40.8,9130,1679,7451,32886,2.57348006979,0.0875619295958
"Audrain County, Missouri",2009,25754,39,11127,1381,9746,39028,2.64252000821,0.0536227382154
"Audrain County, Missouri",2012,25617,38.6,10846,1571,9275,41387,2.76194070081,0.0613264628957
"Audrain County, Missouri",2015,25783,39.2,10813,1540,9273,41310,2.78043783026,0.0597292789823
"Audubon County, Iowa",2009,6140,45.8,3002,271,2731,42072,2.24826071036,0.0441368078176
"Audubon County, Iowa",2012,6077,46.7,2970,274,2696,47630,2.25408011869,0.0450880368603
"Audubon County, Iowa",2015,5869,47.8,3005,346,2659,46979,2.20722075968,0.0589538251832
"Auglaize County, Ohio",2009,46620,39.4,19501,1226,18275,52185,2.55102599179,0.0262977262977
"Auglaize County, Ohio",2012,45934,40.2,19565,1223,18342,52267,2.50430705485,0.0266251578352
"Auglaize County, Ohio",2015,45873,41,19641,1448,18193,54274,2.52146429946,0.0315654088462
"Augusta County, Virginia",2009,70991,41.3,30274,2745,27529,49364,2.57877147735,0.0386668732656
"Augusta County, Virginia",2012,73662,43.3,31249,2952,28297,50971,2.60317348129,0.0400749368738
"Augusta County, Virginia",2015,74053,44.2,31724,3574,28150,54558,2.63065719361,0.0482627307469
"Aurora County, South Dakota",2009,2878,44.1,1350,178,1172,43209,2.45563139932,0.0618485059069
"Aurora County, South Dakota",2012,2726,41.7,1248,190,1058,46071,2.57655954631,0.0696991929567
"Aurora County, South Dakota",2015,2729,41.8,1361,204,1157,48750,2.35868625756,0.0747526566508
"Austin County, Texas",2009,26567,39.9,10866,1838,9028,51086,2.94273371732,0.0691835736064
"Austin County, Texas",2012,28372,40.4,12826,2226,10600,51340,2.67660377358,0.0784576342873
"Austin County, Texas",2015,28886,40.6,12978,1940,11038,53687,2.61695959413,0.0671605622101
"Autauga County, Alabama",2009,49584,36,19882,1594,18288,51463,2.71128608924,0.0321474669248
"Autauga County, Alabama",2012,54590,37,22077,2143,19934,53773,2.73853717267,0.0392562740429
"Autauga County, Alabama",2015,55221,37.7,22582,2186,20396,51281,2.70744263581,0.039586389236
"Avery County, North Carolina",2009,17903,39.9,13471,6404,7067,34676,2.53332389982,0.357705412501
"Avery County, North Carolina",2012,17815,42.2,13860,6659,7201,38051,2.47396194973,0.373786135279
"Avery County, North Carolina",2015,17695,43.7,13988,7187,6801,37777,2.60182326129,0.406159932184
"Avoyelles Parish, Louisiana",2009,42184,36.6,17785,1922,15863,31123,2.65926999937,0.0455622985018
"Avoyelles Parish, Louisiana",2012,41925,38.5,18034,2451,15583,34512,2.6904318809,0.0584615384615
"Avoyelles Parish, Louisiana",2015,41389,38.2,18157,3214,14943,33739,2.76979187579,0.0776534828094
