Name,Year,Population total,Median Age,Total Housing Units,Vacant Housing Units,Occupied Housing Units,Real Median Income,Household size,Vacant units per person
"Brown County, Nebraska",2009,3178,47.5,1814,443,1371,26676,2.31801604668,0.139395846444
"Brown County, Nebraska",2012,3183,46.7,1878,398,1480,33333,2.15067567568,0.125039271128
"Brown County, Nebraska",2015,3078,47.6,1855,344,1511,36078,2.03706154864,0.111760883691
"Brown County, Ohio",2009,43823,38.2,19205,2968,16237,45169,2.69895916733,0.0677269926751
"Brown County, Ohio",2012,44666,39.9,19273,2984,16289,45807,2.74209589293,0.0668069672682
"Brown County, Ohio",2015,44247,40.8,19349,2677,16672,45568,2.65397072937,0.0605012769227
"Brown County, South Dakota",2009,35016,38.5,16555,1583,14972,45054,2.33876569597,0.0452079049577
"Brown County, South Dakota",2012,36562,39.4,16746,1421,15325,49504,2.38577487765,0.0388654887588
"Brown County, South Dakota",2015,38060,38.1,17280,1284,15996,53100,2.37934483621,0.0337362059905
"Brown County, Texas",2009,38225,39,18757,4677,14080,38531,2.71484375,0.122354480052
"Brown County, Texas",2012,38018,39.6,18300,4998,13302,40821,2.85806645617,0.131464043348
"Brown County, Texas",2015,37833,41,18419,5124,13295,41962,2.84565626175,0.135437316628
"Brown County, Wisconsin",2009,242881,35.6,102202,6165,96037,52535,2.52903568416,0.0253828006308
"Brown County, Wisconsin",2012,248526,36.2,104613,6442,98171,53419,2.53156227399,0.025920829209
"Brown County, Wisconsin",2015,254717,36.8,106532,5892,100640,53527,2.5309717806,0.0231315538421
"Brule County, South Dakota",2009,5169,39,2368,311,2057,44570,2.51288283909,0.0601663764751
"Brule County, South Dakota",2012,5236,41.5,2416,320,2096,46107,2.49809160305,0.061115355233
"Brule County, South Dakota",2015,5330,40.8,2461,394,2067,49531,2.5786163522,0.0739212007505
"Brunswick County, North Carolina",2009,98712,46.1,72441,28146,44295,44321,2.22851337623,0.285132506686
"Brunswick County, North Carolina",2012,107925,47.6,77514,30333,47181,46490,2.28746741273,0.28105628909
"Brunswick County, North Carolina",2015,115926,50,80412,31219,49193,46859,2.35655479438,0.269301105878
"Brunswick County, Virginia",2009,17786,39.7,7922,1773,6149,36202,2.89250284599,0.0996851456202
"Brunswick County, Virginia",2012,17372,41,8151,2122,6029,33859,2.88140653508,0.122150587152
"Brunswick County, Virginia",2015,16930,41.7,8158,2242,5916,36919,2.86173089926,0.132427643237
"Bryan County, Georgia",2009,30109,34.9,11795,1179,10616,63858,2.83619065561,0.0391577269255
"Bryan County, Georgia",2012,30616,36.1,11966,1014,10952,63818,2.79547114682,0.0331199372877
"Bryan County, Georgia",2015,33151,35.1,12676,1235,11441,63327,2.89756140198,0.0372537781666
"Bryan County, Oklahoma",2009,39467,36,17981,2774,15207,35598,2.59531794568,0.0702865685256
"Bryan County, Oklahoma",2012,42494,36.8,19523,3125,16398,37883,2.59141358702,0.0735397938532
"Bryan County, Oklahoma",2015,44003,37.1,19826,3194,16632,38847,2.64568302068,0.0725859600482
"Buchanan County, Iowa",2009,20911,37.8,9145,754,8391,50360,2.49207484209,0.0360575773516
"Buchanan County, Iowa",2012,20988,38.9,8965,861,8104,54596,2.58983218164,0.0410234419668
"Buchanan County, Iowa",2015,20998,38.4,8989,721,8268,56150,2.5396710208,0.034336603486
"Buchanan County, Missouri",2009,88476,36.9,37341,4259,33082,41366,2.6744453177,0.0481373479814
"Buchanan County, Missouri",2012,89162,36.6,38416,4834,33582,44181,2.65505330236,0.0542159215809
"Buchanan County, Missouri",2015,89561,36.8,38487,5311,33176,46315,2.69957197974,0.0593003651143
"Buchanan County, Virginia",2009,23584,42.1,12221,2700,9521,27538,2.47705072997,0.114484396201
"Buchanan County, Virginia",2012,24071,43.9,11605,2221,9384,29821,2.56511082694,0.0922687050808
"Buchanan County, Virginia",2015,23486,45.5,11489,2047,9442,29679,2.48739673798,0.0871583070766
"Buckingham County, Virginia",2009,15932,43.6,6422,1468,4954,38128,3.21598708115,0.0921416018077
"Buckingham County, Virginia",2012,17071,41.4,7220,1492,5728,37843,2.98027234637,0.0873996836741
"Buckingham County, Virginia",2015,17068,42.2,7263,1660,5603,40331,3.04622523648,0.0972580267167
"Bucks County, Pennsylvania",2009,621241,40.7,240086,12882,227204,74111,2.73428724846,0.0207359140817
"Bucks County, Pennsylvania",2012,625485,41.9,245591,15658,229933,76859,2.72029243301,0.0250333741017
"Bucks County, Pennsylvania",2015,626583,43,246515,13449,233066,77568,2.6884358937,0.0214640358899
"Buena Vista County, Iowa",2009,19573,37.5,8206,627,7579,41938,2.58253067687,0.0320339242835
"Buena Vista County, Iowa",2012,20215,36.5,8235,590,7645,46947,2.6442119032,0.0291862478358
"Buena Vista County, Iowa",2015,20507,35.9,8263,628,7635,48195,2.68592010478,0.0306236894719
"Buena Vista city, Virginia",2009,6285,39.3,2857,165,2692,40913,2.33469539376,0.0262529832936
"Buena Vista city, Virginia",2012,6679,38,2931,199,2732,35921,2.44472913616,0.029794879473
"Buena Vista city, Virginia",2015,6666,33.8,2920,183,2737,29097,2.43551333577,0.0274527452745
"Buffalo County, Nebraska",2009,44877,30.3,18603,1354,17249,46300,2.60171604151,0.0301713572654
"Buffalo County, Nebraska",2012,46330,32.3,19074,1612,17462,50307,2.65318978353,0.0347938700626
"Buffalo County, Nebraska",2015,47958,32.5,19531,1179,18352,53624,2.61323016565,0.0245840110096
"Buffalo County, South Dakota",2009,2091,23.4,628,102,526,25714,3.9752851711,0.0487804878049
"Buffalo County, South Dakota",2012,1950,26.4,643,77,566,30439,3.44522968198,0.0394871794872
"Buffalo County, South Dakota",2015,2038,25.9,629,83,546,31163,3.7326007326,0.040726202159
"Buffalo County, Wisconsin",2009,13683,42.6,6607,797,5810,44950,2.35507745267,0.0582474603523
"Buffalo County, Wisconsin",2012,13544,44,6662,956,5706,47119,2.37364178058,0.0705847607797
"Buffalo County, Wisconsin",2015,13319,45,6672,901,5771,50196,2.30791890487,0.0676477213004
"Bullitt County, Kentucky",2009,73528,37.4,29382,1798,27584,52594,2.66560324826,0.0244532695028
"Bullitt County, Kentucky",2012,74431,38.2,29417,1626,27791,53922,2.67824115721,0.0218457363195
"Bullitt County, Kentucky",2015,76961,39.3,30175,1908,28267,55975,2.72264478013,0.0247917776536
"Bulloch County, Georgia",2009,66366,24.7,27378,3503,23875,34723,2.77972774869,0.0527830515625
"Bulloch County, Georgia",2012,70360,25.8,28819,3625,25194,34403,2.7927284274,0.0515207504264
"Bulloch County, Georgia",2015,72386,26.3,29593,3465,26128,36032,2.77043784446,0.0478683723372
"Bullock County, Alabama",2009,10917,37.4,4850,921,3929,26209,2.77856961059,0.0843638362187
"Bullock County, Alabama",2012,10779,40.7,4501,761,3740,34500,2.8820855615,0.0706002412098
"Bullock County, Alabama",2015,10678,39.3,4465,782,3683,31938,2.89926690198,0.0732346881438
"Buncombe County, North Carolina",2009,225869,40.4,107414,10949,96465,43750,2.34146063339,0.0484750009962
"Buncombe County, North Carolina",2012,239000,40.7,113409,12028,101381,44206,2.35744370247,0.0503263598326
"Buncombe County, North Carolina",2015,247336,41.1,115426,13566,101860,45167,2.42819556254,0.0548484652457
"Bureau County, Illinois",2009,34795,41.8,15627,976,14651,45329,2.37492321343,0.0280500071849
"Bureau County, Illinois",2012,34798,42.6,15712,1423,14289,48102,2.43529988103,0.040893154779
"Bureau County, Illinois",2015,34115,43.4,15647,1624,14023,50423,2.43278898952,0.04760369339
"Burke County, Georgia",2009,22807,35.2,9378,1645,7733,31482,2.94930815983,0.0721269785592
"Burke County, Georgia",2012,23242,35.5,9822,2079,7743,31597,3.00167893581,0.0894501333792
"Burke County, Georgia",2015,23007,36,9832,1730,8102,33641,2.83966921748,0.0751945060199
"Burke County, North Carolina",2009,88987,40.1,39513,5549,33964,36061,2.62003886468,0.0623574229944
"Burke County, North Carolina",2012,90821,41.4,40790,6140,34650,38062,2.6210966811,0.0676055097389
"Burke County, North Carolina",2015,89548,42.9,40711,6531,34180,39360,2.61989467525,0.0729329521597
"Burke County, North Dakota",2009,2027,50.9,1305,292,1013,49013,2.00098716683,0.14405525407
"Burke County, North Dakota",2012,2011,46.2,1276,269,1007,52031,1.99702085402,0.13376429637
"Burke County, North Dakota",2015,2208,36.5,1333,353,980,60096,2.25306122449,0.159873188406
"Burleigh County, North Dakota",2009,77049,36.6,33142,1425,31717,52070,2.4292650629,0.0184947241366
"Burleigh County, North Dakota",2012,81941,37.3,35902,1995,33907,59309,2.41663963193,0.0243467861022
"Burleigh County, North Dakota",2015,88223,36.8,38716,1655,37061,65254,2.3804808289,0.0187592804597
"Burleson County, Texas",2009,16634,40.8,8679,1922,6757,39522,2.46174337724,0.115546471083
"Burleson County, Texas",2012,17160,41.6,8824,2531,6293,43976,2.7268393453,0.147494172494
"Burleson County, Texas",2015,17293,42.6,8875,2474,6401,51821,2.70160912357,0.14306366738
"Burlington County, New Jersey",2009,446301,39.1,173858,8522,165336,75383,2.69935767165,0.0190947365119
"Burlington County, New Jersey",2012,449117,40.3,175844,10224,165620,78229,2.71173167492,0.0227646693401
"Burlington County, New Jersey",2015,450556,41,177058,12399,164659,78621,2.73629743895,0.0275193316702
"Burnet County, Texas",2009,43402,44.7,19797,3736,16061,46463,2.70232239587,0.0860789825354
"Burnet County, Texas",2012,42946,44,20865,4217,16648,49047,2.57964920711,0.0981930796815
"Burnet County, Texas",2015,44144,44.1,21338,4398,16940,49732,2.60590318772,0.0996284885828
"Burnett County, Wisconsin",2009,16111,47.9,13783,6318,7465,40870,2.15820495646,0.392154428651
"Burnett County, Wisconsin",2012,15528,49.3,14829,7468,7361,39382,2.10949599239,0.480937660999
"Burnett County, Wisconsin",2015,15334,50.9,15316,8004,7312,41135,2.09710065646,0.521977305335
"Burt County, Nebraska",2009,7047,45.4,3719,659,3060,43333,2.30294117647,0.0935149709096
"Burt County, Nebraska",2012,6829,47.2,3470,532,2938,47786,2.32437031995,0.0779030604774
"Burt County, Nebraska",2015,6647,47.4,3461,660,2801,47429,2.37308104248,0.0992929140966
"Butler County, Alabama",2009,20189,39.2,10393,2337,8056,31938,2.50608242304,0.11575610481
"Butler County, Alabama",2012,20730,40.3,9973,1824,8149,30752,2.54387041355,0.087988422576
"Butler County, Alabama",2015,20354,40.5,9919,1863,8056,32229,2.52656405164,0.0915299204088
"Butler County, Iowa",2009,14581,44.2,6693,476,6217,46143,2.34534341322,0.0326452232357
"Butler County, Iowa",2012,14899,43.6,6645,561,6084,51348,2.44888231427,0.0376535337942
"Butler County, Iowa",2015,14966,43.5,6707,500,6207,52360,2.41114870308,0.0334090605372
"Butler County, Kansas",2009,62878,37.4,25706,1856,23850,56077,2.63639412998,0.0295174782913
"Butler County, Kansas",2012,65647,37.5,26060,1784,24276,57424,2.70419344208,0.0271756515911
"Butler County, Kansas",2015,66092,37.8,26329,2056,24273,58897,2.72286079183,0.0311081522726
"Butler County, Kentucky",2009,13337,38.9,6114,753,5361,33063,2.4877821302,0.0564594736447
"Butler County, Kentucky",2012,12748,40.3,5884,832,5052,36237,2.5233570863,0.0652651396297
"Butler County, Kentucky",2015,12835,41.2,5861,685,5176,33536,2.47971406491,0.0533696922478
"Butler County, Missouri",2009,41293,39.6,19341,2520,16821,33074,2.45484810653,0.0610272927615
"Butler County, Missouri",2012,42792,40.6,19711,2644,17067,34343,2.5072947794,0.0617872499533
"Butler County, Missouri",2015,42951,40,19662,2932,16730,35738,2.56730424387,0.0682638355335
"Butler County, Nebraska",2009,8416,43.2,4142,597,3545,45226,2.37404795487,0.0709363117871
"Butler County, Nebraska",2012,8345,44.4,4060,552,3508,50569,2.37884834664,0.0661473936489
"Butler County, Nebraska",2015,8256,44.7,4043,466,3577,51027,2.30807939614,0.0564437984496
"Butler County, Ohio",2009,356878,35.4,142936,12014,130922,54344,2.72588258658,0.033664165345
"Butler County, Ohio",2012,368029,36.1,148006,13061,134945,56253,2.72725184334,0.0354890511346
"Butler County, Ohio",2015,372538,36.4,149016,14296,134720,57540,2.76527612827,0.0383746087647
"Butler County, Pennsylvania",2009,182519,40.4,76964,5344,71620,55373,2.54843619101,0.0292791435412
"Butler County, Pennsylvania",2012,183946,41.3,78260,5393,72867,58226,2.52440748212,0.0293183869179
"Butler County, Pennsylvania",2015,185689,42.7,79529,5053,74476,60934,2.4932730007,0.0272121665796
"Butte County, California",2009,217917,36.6,94743,9536,85207,42002,2.55750114427,0.0437597800998
"Butte County, California",2012,220101,37.3,95830,10756,85074,43339,2.58717116863,0.0488684740187
"Butte County, California",2015,222564,36.8,97133,11815,85318,43444,2.60864061511,0.0530858539566
"Butte County, Idaho",2009,2769,44.6,1424,203,1221,34229,2.26781326781,0.073311664861
"Butte County, Idaho",2012,2828,45.9,1417,316,1101,40150,2.56857402361,0.111739745403
"Butte County, Idaho",2015,2653,40.9,1278,269,1009,37891,2.62933597621,0.101394647569
"Butte County, South Dakota",2009,9418,41.1,4396,532,3864,36649,2.43737060041,0.0564875769803
"Butte County, South Dakota",2012,10122,40.1,4609,596,4013,38980,2.52230251682,0.0588816439439
"Butte County, South Dakota",2015,10292,39.9,4667,588,4079,41920,2.523167443,0.0571317528177
"Butts County, Georgia",2009,23596,36.9,9211,1580,7631,52760,3.09212423011,0.06696050178
"Butts County, Georgia",2012,23671,38.2,9340,1544,7796,50722,3.03630066701,0.0652274935575
"Butts County, Georgia",2015,23445,38.4,9291,1517,7774,41667,3.01582197067,0.0647046278524
"Cabarrus County, North Carolina",2009,161473,35.8,66969,5465,61504,54274,2.62540647763,0.0338446675296
"Cabarrus County, North Carolina",2012,178396,36.7,71848,7364,64484,54341,2.76651572483,0.0412789524429
"Cabarrus County, North Carolina",2015,188375,37.4,74504,7343,67161,54720,2.80482720627,0.0389807564698
"Cabell County, West Virginia",2009,94552,37.7,46435,5764,40671,33062,2.32480145558,0.0609611642271
"Cabell County, West Virginia",2012,96240,39,46174,5690,40484,37238,2.37723545104,0.0591230257689
"Cabell County, West Virginia",2015,96824,38.5,46376,6403,39973,38344,2.42223500863,0.0661302982732
"Cabo Rojo Municipio, Puerto Rico",2009,52969,37.8,24770,8264,16506,16124,3.2090754877,0.156015782816
"Cabo Rojo Municipio, Puerto Rico",2012,50866,39.3,27085,11737,15348,16003,3.31417774303,0.230743522196
"Cabo Rojo Municipio, Puerto Rico",2015,50380,41.1,29661,12546,17115,16499,2.94361671049,0.249027391822
"Cache County, Utah",2009,109347,23.8,34539,2074,32465,46091,3.36815031572,0.0189671413025
"Cache County, Utah",2012,112095,25.5,37181,1947,35234,49203,3.18144405972,0.0173691957714
"Cache County, Utah",2015,117449,25,38715,3030,35685,50497,3.29127084209,0.0257984316597
"Caddo County, Oklahoma",2009,29505,37.4,13536,2609,10927,36989,2.7001921845,0.0884256905609
"Caddo County, Oklahoma",2012,29403,38.1,13174,2770,10404,38155,2.82612456747,0.0942080740061
"Caddo County, Oklahoma",2015,29495,37,13164,2962,10202,40674,2.89109978436,0.100423800644
"Caddo Parish, Louisiana",2009,252467,35.6,113303,15217,98086,36536,2.57393511816,0.0602732238273
"Caddo Parish, Louisiana",2012,254970,36.3,112162,13878,98284,40497,2.59421675959,0.0544299329333
"Caddo Parish, Louisiana",2015,254742,36.6,112557,14566,97991,41234,2.59964690635,0.0571794207473
"Caguas Municipio, Puerto Rico",2009,142926,36.8,52773,5398,47375,22425,3.01690765172,0.0377677959224
"Caguas Municipio, Puerto Rico",2012,142549,37.2,55096,6764,48332,23845,2.94937101713,0.0474503504058
"Caguas Municipio, Puerto Rico",2015,138262,38.4,58254,7754,50500,23769,2.73786138614,0.0560819314056
"Calaveras County, California",2009,46548,47.7,26905,8752,18153,57676,2.56420426376,0.188020967603
"Calaveras County, California",2012,45507,49.5,27867,9249,18618,54686,2.44424750242,0.203243457051
"Calaveras County, California",2015,44767,50.7,28031,9971,18060,53233,2.47879291251,0.222731029553
"Calcasieu Parish, Louisiana",2009,185017,35.3,82361,9758,72603,42938,2.54833822294,0.0527410994665
"Calcasieu Parish, Louisiana",2012,192307,35.9,82418,9628,72790,44247,2.64194257453,0.0500657802368
"Calcasieu Parish, Louisiana",2015,195887,36.1,84954,9629,75325,45312,2.6005575838,0.0491558908963
"Caldwell County, Kentucky",2009,12822,42.5,6350,973,5377,36929,2.38460107867,0.0758851973171
"Caldwell County, Kentucky",2012,12977,42.2,6291,1199,5092,37778,2.54850746269,0.0923942359559
"Caldwell County, Kentucky",2015,12826,42.6,6271,978,5293,42537,2.42320045343,0.076251364416
"Caldwell County, Missouri",2009,9192,41.5,4697,845,3852,37792,2.38629283489,0.0919277632724
"Caldwell County, Missouri",2012,9302,41.7,4597,865,3732,41324,2.49249732047,0.0929907546764
"Caldwell County, Missouri",2015,9083,42.3,4604,889,3715,43691,2.44495289367,0.0978751513817
"Caldwell County, North Carolina",2009,79382,40.1,36080,5204,30876,37308,2.57099365203,0.0655564233705
"Caldwell County, North Carolina",2012,82493,41.2,37569,5821,31748,36108,2.59836840116,0.070563562969
"Caldwell County, North Carolina",2015,81758,42.8,37633,6067,31566,35763,2.59006526009,0.0742068054502
"Caldwell County, Texas",2009,36895,35.8,13271,2028,11243,41387,3.28159743841,0.0549667976691
"Caldwell County, Texas",2012,38152,35.1,13714,2074,11640,43393,3.27766323024,0.054361501363
"Caldwell County, Texas",2015,39347,35.6,13864,1413,12451,47233,3.16014777929,0.0359112511754
"Caldwell Parish, Louisiana",2009,10400,37.9,5255,1389,3866,39156,2.69011898603,0.133557692308
"Caldwell Parish, Louisiana",2012,10118,40.4,5002,1041,3961,40181,2.55440545317,0.102885945839
"Caldwell Parish, Louisiana",2015,9990,39.9,5014,1176,3838,33294,2.60291818656,0.117717717718
"Caledonia County, Vermont",2009,30356,41.5,15332,2970,12362,41897,2.4555897104,0.0978389774674
"Caledonia County, Vermont",2012,31170,42.3,15906,3381,12525,44435,2.48862275449,0.108469682387
"Caledonia County, Vermont",2015,31012,43.1,16022,3735,12287,45323,2.52396842191,0.120437250097
"Calhoun County, Alabama",2009,112969,38.1,53553,6507,47046,38382,2.40124558942,0.0575998725314
"Calhoun County, Alabama",2012,117834,38.7,53293,7529,45764,40093,2.57481863473,0.0638949708913
"Calhoun County, Alabama",2015,116648,39.1,53296,8142,45154,41703,2.58333702441,0.0697997393869
"Calhoun County, Arkansas",2009,5411,41.1,3158,874,2284,32148,2.36908931699,0.161522823877
"Calhoun County, Arkansas",2012,5373,42.4,2909,825,2084,31425,2.57821497121,0.153545505304
"Calhoun County, Arkansas",2015,5245,44.9,2889,764,2125,36899,2.46823529412,0.145662535748
"Calhoun County, Florida",2009,13525,37.2,5492,1195,4297,29642,3.1475447987,0.0883548983364
"Calhoun County, Florida",2012,14639,40.1,5960,1108,4852,32480,3.0171063479,0.0756882300704
"Calhoun County, Florida",2015,14615,40.5,5944,1160,4784,34510,3.05497491639,0.0793705097503
"Calhoun County, Georgia",2009,6113,36.8,2369,548,1821,27723,3.35694673256,0.0896450188124
"Calhoun County, Georgia",2012,6581,38.8,2388,591,1797,30042,3.66221480245,0.0898039811579
"Calhoun County, Georgia",2015,6489,38.2,2339,503,1836,25513,3.53431372549,0.0775157959624
"Calhoun County, Illinois",2009,5076,42.9,2840,797,2043,44016,2.4845814978,0.157013396375
"Calhoun County, Illinois",2012,5065,44.6,2834,763,2071,47399,2.44567841622,0.15064165844
"Calhoun County, Illinois",2015,4999,46.9,2828,765,2063,53869,2.42317014057,0.153030606121
"Calhoun County, Iowa",2009,9964,46,4828,535,4293,40080,2.32098765432,0.0536932958651
"Calhoun County, Iowa",2012,9936,47.5,5031,611,4420,45097,2.2479638009,0.0614935587762
"Calhoun County, Iowa",2015,9914,46,5094,833,4261,44921,2.32668387702,0.0840225943111
"Calhoun County, Michigan",2009,136875,38,60767,6569,54198,42003,2.52546219418,0.0479926940639
"Calhoun County, Michigan",2012,136063,39.2,60997,7707,53290,42164,2.55325577031,0.0566428786665
"Calhoun County, Michigan",2015,134790,40.1,60716,7866,52850,42520,2.55042573321,0.0583574449143
"Calhoun County, Mississippi",2009,14533,39.4,7211,1063,6148,27078,2.36385816526,0.0731438794468
"Calhoun County, Mississippi",2012,14903,39.3,6934,929,6005,30768,2.48176519567,0.062336442327
"Calhoun County, Mississippi",2015,14789,40.5,6917,995,5922,31098,2.49729821006,0.0672797349381
"Calhoun County, South Carolina",2009,14746,44.2,7394,1427,5967,37402,2.47125858891,0.0967720059677
"Calhoun County, South Carolina",2012,15134,43.9,7342,1246,6096,39843,2.48261154856,0.0823311748381
"Calhoun County, South Carolina",2015,14958,45.3,7313,1285,6028,43531,2.48142003981,0.0859072068458
"Calhoun County, Texas",2009,20384,38.1,11001,3075,7926,43305,2.5717890487,0.150853610675
"Calhoun County, Texas",2012,21366,38.2,11393,3566,7827,45122,2.72978152549,0.166900683329
"Calhoun County, Texas",2015,21666,38.1,11606,3612,7994,51078,2.71028271203,0.166712821933
"Calhoun County, West Virginia",2009,7209,44.1,4004,869,3135,27367,2.2995215311,0.120543764739
"Calhoun County, West Virginia",2012,7613,45.4,3965,783,3182,29282,2.3925204274,0.102850387495
"Calhoun County, West Virginia",2015,7557,47,3947,857,3090,35568,2.44563106796,0.113404790261
"Callahan County, Texas",2009,13300,41,6214,1121,5093,44470,2.61142744944,0.0842857142857
"Callahan County, Texas",2012,13521,42.2,6530,1348,5182,46812,2.60922423775,0.0996967679905
"Callahan County, Texas",2015,13532,43.5,6574,1301,5273,40981,2.56628105443,0.0961424770913
"Callaway County, Missouri",2009,43192,36.6,17422,1636,15786,49425,2.73609527429,0.0378773847009
"Callaway County, Missouri",2012,44157,37.6,18452,1624,16828,50516,2.62401949132,0.0367778608148
"Callaway County, Missouri",2015,44566,37.8,18539,2389,16150,47744,2.75950464396,0.0536058878966
"Calloway County, Kentucky",2009,36036,34.2,17184,2427,14757,36632,2.44195974792,0.0673493173493
"Calloway County, Kentucky",2012,37198,33.6,18035,3037,14998,39037,2.48019735965,0.081644174418
"Calloway County, Kentucky",2015,38106,33.7,18237,3403,14834,37034,2.56882836726,0.0893035217551
"Calumet County, Wisconsin",2009,44407,37.2,19002,1281,17721,61655,2.50589695841,0.0288468034319
"Calumet County, Wisconsin",2012,48960,38.2,19666,1316,18350,64982,2.66811989101,0.0268790849673
"Calumet County, Wisconsin",2015,49678,39,19898,1315,18583,67427,2.67330355701,0.0264704698257
"Calvert County, Maryland",2009,88055,38.7,32317,2583,29734,90621,2.96142463173,0.0293339390154
"Calvert County, Maryland",2012,88774,39.8,33793,2877,30916,92395,2.87145814465,0.0324081375177
"Calvert County, Maryland",2015,90114,40.6,34384,3229,31155,95828,2.8924410207,0.0358323900837
"Camas County, Idaho",2009,1040,41,739,336,403,50114,2.58064516129,0.323076923077
"Camas County, Idaho",2012,1276,38,801,352,449,40515,2.84187082405,0.275862068966
"Camas County, Idaho",2015,1052,42.1,876,441,435,42614,2.4183908046,0.419201520913
"Cambria County, Pennsylvania",2009,145219,43.2,66452,6829,59623,38381,2.43562048203,0.0470255269627
"Cambria County, Pennsylvania",2012,143305,43.7,65646,7144,58502,41668,2.44957437353,0.0498517148739
"Cambria County, Pennsylvania",2015,139381,44.4,65413,7948,57465,42107,2.42549377882,0.057023554143
"Camden County, Georgia",2009,47003,30.8,20827,3098,17729,48967,2.65119296069,0.0659106865519
"Camden County, Georgia",2012,50435,31.6,21063,2911,18152,54155,2.77848171,0.0577178546644
"Camden County, Georgia",2015,51445,31.6,21366,2728,18638,52473,2.76022105376,0.0530275051025
"Camden County, Missouri",2009,40150,47,35651,19543,16108,43127,2.49255028557,0.486749688667
"Camden County, Missouri",2012,43731,48.7,40886,23266,17620,44577,2.48189557321,0.532025336718
"Camden County, Missouri",2015,43927,49.8,41234,24486,16748,44816,2.6228206353,0.557424818449
"Camden County, New Jersey",2009,516937,36.9,205611,13516,192095,60362,2.69104869986,0.0261463195709
"Camden County, New Jersey",2012,513660,37.7,205174,16313,188861,62320,2.71977803782,0.0317583615621
"Camden County, New Jersey",2015,511998,38.3,205768,19667,186101,62185,2.75118349713,0.0384122594229
"Camden County, North Carolina",2009,9375,40.2,3849,365,3484,58480,2.69087256028,0.0389333333333
"Camden County, North Carolina",2012,9965,40.1,4075,510,3565,56315,2.79523141655,0.0511791269443
"Camden County, North Carolina",2015,10161,41.1,4129,334,3795,58780,2.67747035573,0.032870780435
"Cameron County, Pennsylvania",2009,5334,44.9,4613,2457,2156,40288,2.47402597403,0.46062992126
"Cameron County, Pennsylvania",2012,5058,47.9,4455,2271,2184,41409,2.31593406593,0.448991696323
"Cameron County, Pennsylvania",2015,4869,49.9,4410,2240,2170,39897,2.24377880184,0.460053399055
"Cameron County, Texas",2009,383171,29.1,143029,26859,116170,30034,3.29836446587,0.0700966409253
"Cameron County, Texas",2012,405819,30.6,142475,25636,116839,32558,3.47331798458,0.0631710195925
"Cameron County, Texas",2015,417947,31.2,145194,24097,121097,33266,3.45134066079,0.0576556357624
"Cameron Parish, Louisiana",2009,7588,40.2,4659,1445,3214,57786,2.36092097075,0.190432261465
"Cameron Parish, Louisiana",2012,6934,40.3,3708,1226,2482,62353,2.79371474617,0.176809922123
"Cameron Parish, Louisiana",2015,6706,42.6,3524,916,2608,64231,2.5713190184,0.13659409484
"Camp County, Texas",2009,12489,36.5,5444,1022,4422,33891,2.82428765265,0.0818320121707
"Camp County, Texas",2012,12389,38,5641,1291,4350,36495,2.84804597701,0.10420534345
"Camp County, Texas",2015,12516,37.8,5675,1244,4431,37851,2.82464454976,0.0993927772451
"Campbell County, Kentucky",2009,87509,37.1,38961,3776,35185,51890,2.48711098479,0.0431498474443
"Campbell County, Kentucky",2012,90119,36.9,39497,4262,35235,53580,2.55765574003,0.0472930236687
"Campbell County, Kentucky",2015,91475,37.3,39754,4277,35477,54621,2.5784310962,0.0467559442471
"Campbell County, South Dakota",2009,1450,46.5,993,312,681,35764,2.12922173275,0.215172413793
"Campbell County, South Dakota",2012,1419,50.5,961,309,652,36563,2.1763803681,0.217758985201
"Campbell County, South Dakota",2015,1548,49.6,1000,317,683,45170,2.26647144949,0.204780361757
"Campbell County, Tennessee",2009,40646,40.1,19213,3424,15789,28988,2.57432389638,0.0842395315652
"Campbell County, Tennessee",2012,40629,41.8,19933,3900,16033,31312,2.53408594773,0.0959905486229
"Campbell County, Tennessee",2015,40176,43,20256,4261,15995,32028,2.51178493279,0.10605834329
"Campbell County, Virginia",2009,52542,40.1,24177,2132,22045,43324,2.38339759583,0.0405770621598
"Campbell County, Virginia",2012,54797,41.4,24761,3180,21581,45432,2.53913164358,0.0580323740351
"Campbell County, Virginia",2015,55012,42.4,25100,3309,21791,47699,2.52452847506,0.0601505126154
"Campbell County, Wyoming",2009,40290,31.7,15015,1218,13797,74757,2.92020004349,0.0302308265078
"Campbell County, Wyoming",2012,45840,31.8,18819,1882,16937,77090,2.7065005609,0.0410558464223
"Campbell County, Wyoming",2015,48013,32.7,19525,2015,17510,80060,2.74203312393,0.0419678003874
"Camuy Municipio, Puerto Rico",2009,39310,35,12554,2115,10439,14375,3.76568636843,0.053803103536
"Camuy Municipio, Puerto Rico",2012,35085,37.5,13204,2217,10987,17762,3.19331937745,0.0631893971783
"Camuy Municipio, Puerto Rico",2015,33949,39,14076,2142,11934,17532,2.84472934473,0.0630946419629
"Canadian County, Oklahoma",2009,103588,35.9,40287,3424,36863,59015,2.81008056859,0.0330540217014
"Canadian County, Oklahoma",2012,116299,35.7,45561,3904,41657,63884,2.7918237031,0.033568646334
"Canadian County, Oklahoma",2015,126193,35.7,46753,3690,43063,64505,2.93042751318,0.0292409246155
"Candler County, Georgia",2009,10380,35.7,4017,891,3126,35951,3.32053742802,0.085838150289
"Candler County, Georgia",2012,11007,37.6,4706,922,3784,35833,2.90882663848,0.0837648768965
