National Health Expenditure (NHE) Amounts by Type of Expenditure and Source of Funds: Calendar Years 1960-2025 in PROJECTIONS format,,,,,,,,,,,,,,,,,,,,,,,,,
The projections are based on the 2015 version of the NHE released in December 2016.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
LEVELS in $Millions,,,,,,,,,,,,,,,,,,,,,,,,,
First projected year is 2016,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,Projections_Vintage,Historical_or_Projected_Data,YEAR,TOTAL,OUT_OF_POCKET,TOTAL_HEALTH_INSURANCE,PRIVATE_HEALTH_INSURANCE,MEDICARE,MEDICAID,OTHER_HEALTH_INSURANCE,OTHER_THIRD_PARTY,YEAR,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1960,8985,1852,4559,3195,0,0,1364,2574,1960,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1961,9777,1895,5075,3664,0,0,1412,2807,1961,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1962,10432,1950,5515,4102,0,0,1412,2967,1962,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1963,11507,2206,6012,4540,0,0,1473,3290,1963,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1964,12501,2501,6554,5077,0,0,1477,3445,1964,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1965,13545,2684,7136,5599,0,0,1537,3725,1965,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1966,15298,2303,9285,5585,1255,726,1718,3710,1966,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1967,17798,1809,12451,5607,3225,1624,1995,3538,1967,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1968,20537,2158,14330,6350,4108,1703,2169,4050,1968,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1969,23367,2153,16638,7472,4811,2031,2324,4576,1969,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1970,27168,2448,19422,8818,5359,2647,2599,5299,1970,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1971,30224,2453,22027,9857,5920,3316,2934,5743,1971,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1972,33846,2970,24500,10885,6537,3738,3340,6376,1972,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1973,37920,3591,27396,12021,7537,3990,3847,6934,1973,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1974,44139,3997,32239,14372,9388,4226,4253,7904,1974,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1975,51234,4308,38273,17015,11502,5014,4743,8652,1975,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1976,59402,4523,45206,20158,13902,5766,5380,9674,1976,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1977,67023,4853,51805,23373,16187,6602,5643,10366,1977,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1978,75621,5009,59013,26903,18639,7008,6463,11599,1978,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1979,86162,5187,68005,31636,21647,7774,6948,12970,1979,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1980,100517,5381,80096,36786,26278,9214,7817,15041,1980,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1981,117480,6271,93909,42615,31521,11062,8711,17300,1981,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1982,133647,7210,107385,49297,36662,11782,9644,19052,1982,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1983,144745,7624,117395,53282,40989,12947,10177,19725,1983,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1984,154366,8093,126238,55775,45415,13961,11086,20035,1984,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1985,164575,8769,133956,58671,48644,14624,12017,21850,1985,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1986,175629,8472,142011,62371,50822,15963,12855,25147,1986,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1987,189545,8974,153117,68241,53495,17773,13608,27455,1987,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1988,206455,9777,166299,76106,56337,19712,14144,30379,1988,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1989,225968,10300,185040,85704,62162,22269,14905,30629,1989,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1990,250439,11163,206906,96513,67403,26663,16327,32370,1990,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1991,275768,11870,229771,102106,73322,36545,17798,34128,1991,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1992,298477,12306,251092,105651,83068,43940,18433,35080,1992,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1993,315749,12120,267528,107012,91524,49458,19534,36101,1993,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1994,328366,10653,280485,106951,99879,53671,19984,37228,1994,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1995,339313,10101,292427,107197,108286,56800,20143,36784,1995,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1996,350799,10252,302975,109407,114540,58871,20157,37572,1996,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1997,363404,11018,312599,113800,119392,59597,19811,39787,1997,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1998,374917,11961,320575,120420,118145,61674,20336,42381,1998,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y1999,393624,12712,337658,128516,121103,66778,21260,43254,1999,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y2000,415531,13445,358203,141064,123371,70906,22862,43883,2000,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y2001,449358,13789,390730,153417,135048,77323,24942,44839,2001,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y2002,486479,15316,424415,169238,143531,84376,27270,46749,2002,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y2003,525905,17022,456745,184336,150885,90225,31300,52138,2003,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y2004,565378,18315,492662,199583,162721,96750,33609,54400,2004,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y2005,608553,19702,531574,215889,176395,103754,35536,57277,2005,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y2006,651220,21088,566906,235561,184675,108828,37843,63226,2006,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y2007,691973,22783,599908,250497,193081,117188,39142,69282,2007,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y2008,725711,23613,636330,264790,205470,122673,43397,65768,2008,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y2009,779689,25680,681770,285663,214435,133437,48235,72240,2009,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y2010,822405,27825,714117,301135,219751,141756,51475,80464,2010,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y2011,852020,29211,741505,315736,228379,143861,53528,81304,2011,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y2012,902676,31820,780265,337562,238391,149807,54505,90591,2012,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y2013,937877,33929,808555,349964,246233,155712,56645,95393,2013,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y2014,980966,33078,851878,369804,252754,169103,60217,96010,2014,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Historical,Y2015,1036110,32128,909099,403622,256998,185135,63344,94883,2015,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Projected,Y2016,1086783,32386,956928,427552,267759,193473,68142,97469,2016,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Projected,Y2017,1140771,33418,1006011,451571,281005,201541,71894,101342,2017,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Projected,Y2018,1199924,34906,1059462,476146,297196,209612,76508,105556,2018,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Projected,Y2019,1269067,36677,1122140,502111,318091,220296,81642,110251,2019,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Projected,Y2020,1343065,38684,1189120,527185,343378,231604,86954,115262,2020,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Projected,Y2021,1421720,40722,1260381,554737,369651,243520,92474,120617,2021,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Projected,Y2022,1504448,42771,1335684,583690,397935,256098,97962,125994,2022,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Projected,Y2023,1591327,44939,1414928,613800,428282,269438,103407,131460,2023,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Projected,Y2024,1681160,47252,1496737,645148,458669,283996,108923,137171,2024,,,,,,,,,,,,,
Hospital Expenditures,2/15/2017,Projected,Y2025,1776031,49645,1583332,677114,487799,303679,114740,143053,2025,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1960,5551,3305,1837,1593,0,0,244,409,1960,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1961,5814,3395,1966,1691,0,0,275,452,1961,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1962,6261,3594,2174,1849,0,0,325,493,1962,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1963,7074,4027,2518,2138,0,0,380,529,1963,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1964,8109,4637,2892,2539,0,0,353,579,1964,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1965,8587,4879,3068,2754,0,0,314,641,1965,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1966,9309,4843,3791,2816,443,141,390,675,1966,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1967,10448,4831,4907,2892,1226,348,441,709,1967,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1968,11344,5131,5484,3161,1457,429,437,730,1968,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1969,12716,5775,6207,3659,1570,519,459,733,1969,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1970,14331,6462,6991,4209,1643,649,489,878,1970,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1971,15917,6883,8026,4775,1855,846,550,1008,1971,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1972,17706,7376,9183,5436,2027,1093,627,1147,1972,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1973,19559,7805,10399,6099,2271,1353,675,1355,1973,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1974,22215,8458,12126,6995,2854,1539,738,1631,1974,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1975,25309,9092,13976,7944,3467,1783,781,2241,1975,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1976,28672,10102,16090,9311,4100,1822,857,2480,1976,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1977,33112,11387,18853,11055,4980,1897,921,2872,1977,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1978,35833,11644,20779,12050,5872,1991,866,3409,1978,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1979,41192,12913,24191,14216,6871,2153,951,4088,1979,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1980,47717,14220,28516,16625,8315,2432,1144,4981,1980,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1981,55619,16159,33526,19523,9838,2839,1325,5935,1981,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1982,61635,17366,37695,21671,11757,2793,1474,6574,1982,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1983,68643,18642,42483,24019,13860,3092,1512,7518,1983,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1984,77413,20724,47804,27556,15401,3190,1658,8884,1984,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1985,90856,24268,55755,33285,17010,3521,1939,10834,1985,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1986,100667,26981,61065,35387,19460,4028,2190,12620,1986,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1987,112800,27953,70113,40749,22514,4477,2373,14734,1987,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1988,128416,29459,81887,49822,24426,4913,2727,17070,1988,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1989,142937,29753,94140,57926,27703,5600,2911,19044,1989,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1990,158392,29915,107415,66617,30460,7026,3312,21062,1990,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1991,175750,30517,122118,77312,32021,9113,3672,23114,1991,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1992,190156,30027,134709,86150,33700,11152,3708,25420,1992,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1993,201417,28999,145663,93857,35320,12683,3803,26755,1993,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1994,210479,27274,155688,99250,38798,13695,3945,27517,1994,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1995,220303,25654,165764,104659,42262,14788,4056,28885,1995,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1996,228423,26236,172296,108044,44649,15241,4362,29891,1996,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1997,239143,27545,180126,111691,47663,16309,4462,31472,1997,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1998,256929,29407,191095,119359,50240,16766,4731,36426,1998,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y1999,270034,30322,202459,125472,53823,17477,5687,37253,1999,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y2000,288745,32008,220608,135877,58729,19294,6709,36129,2000,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y2001,313323,33502,241934,148842,63727,21431,7935,37887,2001,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y2002,338353,35164,264404,162704,68041,24022,9638,38785,2002,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y2003,365102,37317,286356,176738,73536,25185,10898,41429,2003,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y2004,390299,39039,306789,186414,80551,27986,11838,44471,2004,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y2005,414050,41827,326416,198550,85587,30072,12208,45806,2005,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y2006,435759,43491,344265,206721,91356,31778,14409,48004,2006,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y2007,458562,45554,362074,216343,95963,33524,16244,50933,2007,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y2008,482925,46946,383010,224854,103803,35912,18442,52969,2008,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y2009,498724,45456,401241,228772,112008,40164,20298,52026,2009,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y2010,513144,48556,410416,230247,115758,43258,21153,54173,2010,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y2011,536395,51345,430272,240257,122204,45184,22626,54778,2011,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y2012,558024,51735,446689,248043,128104,46972,23570,59599,2012,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y2013,569542,53318,457821,249165,132064,52012,24581,58403,2013,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y2014,597137,54038,483369,255581,137923,63600,26265,59731,2014,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Historical,Y2015,634919,56618,514733,272269,144310,69697,28457,63567,2015,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Projected,Y2016,677053,60606,548545,293981,149980,74297,30287,67902,2016,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Projected,Y2017,717010,63917,581237,312375,157887,78324,32651,71855,2017,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Projected,Y2018,758770,66919,616169,330431,168163,83236,34339,75682,2018,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Projected,Y2019,804138,70176,654369,347673,181331,88993,36372,79593,2019,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Projected,Y2020,849624,74491,691474,362604,195200,94993,38677,83658,2020,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Projected,Y2021,897942,78363,731663,379820,209420,101267,41156,87916,2021,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Projected,Y2022,948258,82335,773730,397367,224929,107909,43525,92194,2022,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Projected,Y2023,1001556,86525,818436,415547,242146,114951,45791,96595,2023,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Projected,Y2024,1055851,91002,863712,434243,259127,122420,47921,101137,2024,,,,,,,,,,,,,
Physician and Clinical Expenditures,2/15/2017,Projected,Y2025,1110621,95682,909166,452824,275876,130378,50087,105773,2025,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1960,1987,1907,64,38,0,0,26,16,1960,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1961,2103,2018,64,37,0,0,27,21,1961,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1962,2224,2135,66,38,0,0,28,23,1962,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1963,2371,2275,71,41,0,0,30,25,1963,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1964,2616,2516,71,43,0,0,28,30,1964,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1965,2818,2704,81,55,0,0,27,32,1965,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1966,2992,2827,146,68,0,43,35,19,1966,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1967,3446,3150,284,104,0,138,42,12,1967,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1968,3704,3322,362,113,0,201,47,20,1968,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1969,4216,3789,403,180,0,168,55,23,1969,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1970,4711,4241,449,212,0,162,76,21,1970,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1971,5226,4671,530,248,0,179,103,24,1971,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1972,5566,4933,604,292,0,183,129,29,1972,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1973,6379,5605,739,378,0,228,133,35,1973,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1974,7139,6129,965,550,0,295,120,45,1974,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1975,8023,6532,1433,939,0,364,130,58,1975,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1976,9042,6963,2009,1486,0,390,132,70,1976,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1977,10129,7584,2459,1909,0,424,126,86,1977,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1978,11039,7918,3026,2502,0,392,132,94,1978,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1979,11984,8237,3647,3070,0,440,137,101,1979,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1980,13320,8764,4443,3781,0,503,159,113,1980,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1981,15706,10019,5545,4792,0,581,173,142,1981,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1982,16971,10496,6327,5670,0,485,172,148,1982,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1983,18290,10967,7170,6505,0,501,164,153,1983,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1984,19859,11545,8153,7526,0,456,171,161,1984,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1985,21694,12227,9280,8573,1,510,195,187,1985,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1986,23164,12658,10317,9551,1,554,211,188,1986,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1987,25322,13118,12015,11199,1,591,224,189,1987,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1988,27394,13845,13364,12511,1,617,235,185,1988,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1989,29377,14485,14700,13813,2,638,247,192,1989,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1990,31598,15255,16163,15134,2,756,271,180,1990,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1991,33397,15736,17460,16197,16,945,302,201,1991,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1992,37133,17117,19792,18271,17,1196,308,224,1992,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1993,39006,17448,21320,19295,34,1675,316,238,1993,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1994,41558,18276,23026,20931,40,1741,314,256,1994,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1995,44615,19294,25056,22875,54,1807,321,264,1995,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1996,46943,20062,26591,24329,74,1872,317,290,1996,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1997,50292,22059,27921,25536,89,1974,321,312,1997,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1998,53600,23677,29616,27025,99,2129,364,307,1998,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y1999,57255,25022,31927,29189,78,2180,480,307,1999,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y2000,62066,27407,34312,31241,81,2400,590,346,2000,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y2001,67601,29067,38201,34283,86,3090,743,333,2001,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y2002,73444,31957,41171,36428,79,3709,956,317,2002,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y2003,76005,33347,42372,37246,70,4035,1022,285,2003,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y2004,81749,35609,45826,40333,71,4264,1159,314,2004,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y2005,86691,37775,48587,42672,86,4572,1257,329,2005,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y2006,91146,39640,51155,44871,103,4782,1399,351,2006,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y2007,97029,42326,54320,47276,164,5211,1669,382,2007,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y2008,101939,44681,56835,48629,221,6227,1758,422,2008,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y2009,102307,42561,59258,49386,296,7638,1938,488,2009,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y2010,105032,43401,61094,50173,242,8401,2279,536,2010,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y2011,107106,44788,61810,50608,294,8459,2449,509,2011,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y2012,108771,45415,62831,51302,368,8581,2580,525,2012,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y2013,110141,45653,64005,52017,478,8817,2693,483,2013,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y2014,112832,46029,66334,53123,408,9929,2875,468,2014,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Historical,Y2015,117522,46875,70200,54692,454,11509,3545,447,2015,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Projected,Y2016,121917,48194,73250,56627,496,12375,3752,473,2016,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Projected,Y2017,128030,50150,77379,59446,536,13171,4226,501,2017,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Projected,Y2018,134510,52363,81621,62545,580,14015,4481,527,2018,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Projected,Y2019,141322,54671,86095,65753,633,15007,4702,555,2019,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Projected,Y2020,148594,58141,89868,68306,682,16039,4841,586,2020,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Projected,Y2021,155837,60920,94298,71327,739,17105,5128,619,2021,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Projected,Y2022,163105,63705,98747,74307,805,18230,5405,653,2022,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Projected,Y2023,170292,66545,103060,77090,877,19419,5674,687,2023,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Projected,Y2024,177622,69547,107353,79786,949,20677,5942,722,2024,,,,,,,,,,,,,
Dental Services Expenditures,2/15/2017,Projected,Y2025,185027,72635,111634,82389,1017,22013,6215,757,2025,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1960,392,341,8,8,0,0,0,43,1960,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1961,409,343,12,12,0,0,0,54,1961,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1962,429,351,16,16,0,0,0,62,1962,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1963,451,361,20,20,0,0,0,70,1963,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1964,486,383,25,25,0,0,0,78,1964,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1965,533,395,30,30,0,0,0,108,1965,,,,,,,,,,,,,
Other Professional Services Expenditures,2/15/2017,Historical,Y1966,572,389,49,34,3,11,0,134,1966,,,,,,,,,,,,,
